team,confederation,market_value,fifa_rank_oct2022
Qatar,AFC,14,50
Ecuador,CONMEBOL,146,44
Senegal,CAF,288,18
Netherlands,UEFA,587,8
England,UEFA,1260,5
Iran,AFC,59,20
USA,Concacaf,277,16
Wales,UEFA,160,19
Argentina,CONMEBOL,633,3
Saudi Arabia,AFC,25,51
Mexico,Concacaf,176,13
Poland,UEFA,255,26
France,UEFA,1080,4
Australia,AFC,38,38
Denmark,UEFA,353,10
Tunisia,CAF,62,30
Spain,UEFA,902,7
Costa Rica,Concacaf,18,31
Germany,UEFA,885,11
Japan,AFC,154,24
Belgium,UEFA,563,2
Canada,Concacaf,187,41
Morocco,CAF,251,22
Croatia,UEFA,377,12
Brazil,CONMEBOL,1140,1
Serbia,UEFA,359,21
Switzerland,UEFA,281,15
Cameroon,CAF,155,43
Portugal,UEFA,937,9
Ghana,CAF,216,60
Uruguay,CONMEBOL,449,14
South Korea,AFC,164,28
